"MCLX01000029.1 Pseudomonas aeruginosa 39016 IPC1264_29.1, whole genome shotgun sequence"
"RXDL01000047.1 Pseudomonas aeruginosa strain AMT0020-83 IPC548_47.1, whole genome shotgun sequence"
"RXEC01000022.1 Pseudomonas aeruginosa strain AUS501 IPC444_22.1, whole genome shotgun sequence"
"RXEF01000018.1 Pseudomonas aeruginosa strain AUS178 IPC415_18.1, whole genome shotgun sequence"
"RXEQ01000027.1 Pseudomonas aeruginosa strain AUS311 IPC381_27.1, whole genome shotgun sequence"
"RXFH01000023.1 Pseudomonas aeruginosa strain AUS525 IPC246_23.1, whole genome shotgun sequence"
"RWLI01000036.1 Pseudomonas aeruginosa strain 13 IPC1595_36.1, whole genome shotgun sequence"
"RWMX01000019.1 Pseudomonas aeruginosa strain 4064321111 IPC1494_19.1, whole genome shotgun sequence"
"RWQA01000006.1 Pseudomonas aeruginosa strain PA-CL513 IPC607_6.1, whole genome shotgun sequence"
"RWSB01000033.1 Pseudomonas aeruginosa strain PAC94A IPC152_33.1, whole genome shotgun sequence"
"RWSN01000035.1 Pseudomonas aeruginosa strain PAC15B IPC140_35.1, whole genome shotgun sequence"
"RWSO01000036.1 Pseudomonas aeruginosa strain PAC15A IPC139_36.1, whole genome shotgun sequence"
"RWTP01000020.1 Pseudomonas aeruginosa strain 333S200112BSL_PA1 IPC78_20.1, whole genome shotgun sequence"
"RWTR01000024.1 Pseudomonas aeruginosa strain 326S290611BSL_PA2 IPC76_24.1, whole genome shotgun sequence"
"RWTQ01000061.1 Pseudomonas aeruginosa strain 326S290611BSL_PA3 IPC77_61.1, whole genome shotgun sequence"
"RWTS01000024.1 Pseudomonas aeruginosa strain 326S290611BSL_PA1 IPC75_24.1, whole genome shotgun sequence"
"RWUG01000033.1 Pseudomonas aeruginosa strain 274S010611BSL_PA1 IPC58_33.1, whole genome shotgun sequence"
"RWUH01000027.1 Pseudomonas aeruginosa strain 272S250511BSL_PA1 IPC57_27.1, whole genome shotgun sequence"
"MVGX01000024.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_24.1, whole genome shotgun sequence"
"MVGW01000040.1 Pseudomonas aeruginosa strain ATCC BAA-2109 IPC1577_40.1, whole genome shotgun sequence"
"MVGY01000020.1 Pseudomonas aeruginosa strain ATCC BAA-2111 IPC1579_20.1, whole genome shotgun sequence"
"MVGZ01000020.1 Pseudomonas aeruginosa strain ATCC BAA-2112 IPC1580_20.1, whole genome shotgun sequence"
"MVHA01000013.1 Pseudomonas aeruginosa strain ATCC BAA-2113 IPC1581_13.1, whole genome shotgun sequence"
"MVHB01000020.1 Pseudomonas aeruginosa strain ATCC BAA-2114 IPC1582_20.1, whole genome shotgun sequence"
"MCMN01000025.1 Pseudomonas aeruginosa strain 2D9A isolate AUS23 IPC1103_25.1, whole genome shotgun sequence"
"MCLY01000030.1 Pseudomonas aeruginosa strain 2C22 isolate 57P31PA IPC1274_30.1, whole genome shotgun sequence"
"MCLZ01000032.1 Pseudomonas aeruginosa strain 3C52 isolate TBCF10839 IPC1273_32.1, whole genome shotgun sequence"
"MCMB01000025.1 Pseudomonas aeruginosa strain 1BAE isolate KK1 IPC1271_25.1, whole genome shotgun sequence"
"MCMC01000027.1 Pseudomonas aeruginosa strain EA0A isolate 39177 IPC1270_27.1, whole genome shotgun sequence"
"MCMD01000052.1 Pseudomonas aeruginosa strain 239A isolate 13121-1 IPC1269_52.1, whole genome shotgun sequence"
"MCMG01000019.1 Pseudomonas aeruginosa strain EC2A isolate CHA IPC1262_19.1, whole genome shotgun sequence"
"MCMK01000021.1 Pseudomonas aeruginosa strain EC22 isolate AUS52 IPC1258_21.1, whole genome shotgun sequence"
"MCMJ01000035.1 Pseudomonas aeruginosa strain AF9A isolate AA2 IPC1259_35.1, whole genome shotgun sequence"
"MCML01000024.1 Pseudomonas aeruginosa strain E82A isolate AES-1R IPC1257_24.1, whole genome shotgun sequence"
"MCMM01000026.1 Pseudomonas aeruginosa strain 4012(0) isolate C3719 IPC1256_26.1, whole genome shotgun sequence"
"MCMO01000003.1 Pseudomonas aeruginosa strain F462 isolate CPHL9433 IPC95_3.1, whole genome shotgun sequence"
"MCMP01000031.1 Pseudomonas aeruginosa strain 2A42 isolate U018A IPC94_31.1, whole genome shotgun sequence"
"MCMQ01000017.1 Pseudomonas aeruginosa strain FA0A isolate Pr335 IPC93_17.1, whole genome shotgun sequence"
"MCMS01000020.1 Pseudomonas aeruginosa strain 3C1A isolate Jpn1563 IPC91_20.1, whole genome shotgun sequence"
"MCMT01000023.1 Pseudomonas aeruginosa strain 6822 isolate NH57388A IPC88_23.1, whole genome shotgun sequence"
"MCMU01000028.1 Pseudomonas aeruginosa strain 0C4A isolate 679 IPC87_28.1, whole genome shotgun sequence"
"MCMV01000021.1 Pseudomonas aeruginosa strain 3C52(K) isolate 968333S IPC86_21.1, whole genome shotgun sequence"
"MCMZ01000028.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-3 IPC82_28.1, whole genome shotgun sequence"
"MCNA01000038.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-2 IPC81_38.1, whole genome shotgun sequence"
"MCNB01000041.1 Pseudomonas aeruginosa strain 6D92(H) isolate AMT0060-1 IPC80_41.1, whole genome shotgun sequence"
"NSMQ01000031.1 Pseudomonas aeruginosa strain F1-DN-2 IPC1471_31.1, whole genome shotgun sequence"
"NSMR01000027.1 Pseudomonas aeruginosa strain E2-DN-2 IPC1470_27.1, whole genome shotgun sequence"
"NSMU01000027.1 Pseudomonas aeruginosa strain AL363(Israel 14) IPC1352_27.1, whole genome shotgun sequence"
"NSMS01000047.1 Pseudomonas aeruginosa strain E1-WATER-2 IPC1469_47.1, whole genome shotgun sequence"
"NSMT01000021.1 Pseudomonas aeruginosa strain AL561 IPC1353_21.1, whole genome shotgun sequence"
"NSMX01000026.1 Pseudomonas aeruginosa strain PA-W45 IPC1302_26.1, whole genome shotgun sequence"
"NSMZ01000023.1 Pseudomonas aeruginosa strain PA-W43 IPC1300_23.1, whole genome shotgun sequence"
"NSNB01000033.1 Pseudomonas aeruginosa strain PA-W39 IPC1298_33.1, whole genome shotgun sequence"
"NSMY01000024.1 Pseudomonas aeruginosa strain PA-W44 IPC1301_24.1, whole genome shotgun sequence"
"NSNA01000030.1 Pseudomonas aeruginosa strain PA-W42 IPC1299_30.1, whole genome shotgun sequence"
"NSNE01000041.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_41.1, whole genome shotgun sequence"
"NSND01000038.1 Pseudomonas aeruginosa strain PA-W37 IPC1296_38.1, whole genome shotgun sequence"
"NSNC01000034.1 Pseudomonas aeruginosa strain PA-W38 IPC1297_34.1, whole genome shotgun sequence"
"NSNF01000033.1 Pseudomonas aeruginosa strain PA-W33 IPC1294_33.1, whole genome shotgun sequence"
"NSNH01000034.1 Pseudomonas aeruginosa strain PA-W31 IPC1292_34.1, whole genome shotgun sequence"
"NSNI01000024.1 Pseudomonas aeruginosa strain PA-W29 IPC1291_24.1, whole genome shotgun sequence"
"NSNN01000022.1 Pseudomonas aeruginosa strain PA-W16 IPC1286_22.1, whole genome shotgun sequence"
"NSNL01000032.1 Pseudomonas aeruginosa strain PA-W23 IPC1288_32.1, whole genome shotgun sequence"
"NSNJ01000028.1 Pseudomonas aeruginosa strain PA-W28 IPC1290_28.1, whole genome shotgun sequence"
"NSNM01000028.1 Pseudomonas aeruginosa strain PA-W21 IPC1287_28.1, whole genome shotgun sequence"
"NSNO01000043.1 Pseudomonas aeruginosa strain PA-W14 IPC1285_43.1, whole genome shotgun sequence"
"NSNQ01000028.1 Pseudomonas aeruginosa strain PA-W5 IPC1283_28.1, whole genome shotgun sequence"
"NSNR01000038.1 Pseudomonas aeruginosa strain PA-W4 IPC1282_38.1, whole genome shotgun sequence"
"NSNU01000025.1 Pseudomonas aeruginosa strain AA44 IPC1276_25.1, whole genome shotgun sequence"
"NSNV01000026.1 Pseudomonas aeruginosa strain AA43 IPC1275_26.1, whole genome shotgun sequence"
"NSNS01000040.1 Pseudomonas aeruginosa strain PA-W3 IPC1281_40.1, whole genome shotgun sequence"
"NSOC01000017.1 Pseudomonas aeruginosa strain JYH28 IPC1239_17.1, whole genome shotgun sequence"
"NSOD01000012.1 Pseudomonas aeruginosa strain JYH26 IPC1237_12.1, whole genome shotgun sequence"
"NSOF01000020.1 Pseudomonas aeruginosa strain JYH22 IPC1233_20.1, whole genome shotgun sequence"
"NSOH01000034.1 Pseudomonas aeruginosa strain JYH16 IPC1227_34.1, whole genome shotgun sequence"
"NSOE01000026.1 Pseudomonas aeruginosa strain JYH24 IPC1235_26.1, whole genome shotgun sequence"
"NSOM01000022.1 Pseudomonas aeruginosa strain JYH6 IPC1217_22.1, whole genome shotgun sequence"
"NSOJ01000026.1 Pseudomonas aeruginosa strain JYH12 IPC1223_26.1, whole genome shotgun sequence"
"NSOL01000024.1 Pseudomonas aeruginosa strain JYH8 IPC1219_24.1, whole genome shotgun sequence"
"NSOK01000033.1 Pseudomonas aeruginosa strain JYH10 IPC1221_33.1, whole genome shotgun sequence"
"NSOP01000022.1 Pseudomonas aeruginosa strain X24509 IPC1184_22.1, whole genome shotgun sequence"
"NSON01000035.1 Pseudomonas aeruginosa strain HB392 IPC1191_35.1, whole genome shotgun sequence"
"NSOI01000305.1 Pseudomonas aeruginosa strain JYH14 IPC1225_305.1, whole genome shotgun sequence"
"NSOO01000036.1 Pseudomonas aeruginosa strain HB159 IPC1190_36.1, whole genome shotgun sequence"
"NSOU01000021.1 Pseudomonas aeruginosa strain CF27 IPC1173_21.1, whole genome shotgun sequence"
"NSOT01000028.1 Pseudomonas aeruginosa strain CF127 IPC1174_28.1, whole genome shotgun sequence"
"NSOV01000035.1 Pseudomonas aeruginosa strain CF5 IPC1171_35.1, whole genome shotgun sequence"
"NSOW01000024.1 Pseudomonas aeruginosa E2 IPC1165_24.1, whole genome shotgun sequence"
"NSOZ01000032.1 Pseudomonas aeruginosa strain HM308 IPC1162_32.1, whole genome shotgun sequence"
"NSOY01000036.1 Pseudomonas aeruginosa strain HM324 IPC1163_36.1, whole genome shotgun sequence"
"NSPA01000046.1 Pseudomonas aeruginosa strain HM307 IPC1161_46.1, whole genome shotgun sequence"
"NSPC01000025.1 Pseudomonas aeruginosa strain HM301 IPC1159_25.1, whole genome shotgun sequence"
"NSPD01000026.1 Pseudomonas aeruginosa strain HM300 IPC1158_26.1, whole genome shotgun sequence"
"NSPG01000028.1 Pseudomonas aeruginosa strain HM293 IPC1155_28.1, whole genome shotgun sequence"
"NSPB01000032.1 Pseudomonas aeruginosa strain HM306 IPC1160_32.1, whole genome shotgun sequence"
"NSPF01000031.1 Pseudomonas aeruginosa strain HM294 IPC1156_31.1, whole genome shotgun sequence"
"NSPE01000026.1 Pseudomonas aeruginosa strain HM299 IPC1157_26.1, whole genome shotgun sequence"
"NSPK01000022.1 Pseudomonas aeruginosa strain E1(T4189) IPC1138_22.1, whole genome shotgun sequence"
"NSPH01000025.1 Pseudomonas aeruginosa strain E9(4068) IPC1152_25.1, whole genome shotgun sequence"
"NSPN01000037.1 Pseudomonas aeruginosa strain B3(T2101) IPC1124_37.1, whole genome shotgun sequence"
"NSPP01000034.1 Pseudomonas aeruginosa strain C7(T3583) IPC1112_34.1, whole genome shotgun sequence"
"NSPR01000024.1 Pseudomonas aeruginosa strain LiP14 IPC1086_24.1, whole genome shotgun sequence"
"NSPO01000022.1 Pseudomonas aeruginosa strain A1(A2448) IPC1122_22.1, whole genome shotgun sequence"
"NSPS01000023.1 Pseudomonas aeruginosa strain LiP13 IPC1085_23.1, whole genome shotgun sequence"
"NSPT01000025.1 Pseudomonas aeruginosa strain LiP12 IPC1084_25.1, whole genome shotgun sequence"
"NSPV01000023.1 Pseudomonas aeruginosa strain LiP10b IPC1082_23.1, whole genome shotgun sequence"
"NSPU01000024.1 Pseudomonas aeruginosa strain LiP11 IPC1083_24.1, whole genome shotgun sequence"
"NSPW01000020.1 Pseudomonas aeruginosa strain LiP10a IPC1081_20.1, whole genome shotgun sequence"
"NSPX01000026.1 Pseudomonas aeruginosa strain LiP9 IPC1080_26.1, whole genome shotgun sequence"
"NSQB01000027.1 Pseudomonas aeruginosa strain LiP5 IPC1076_27.1, whole genome shotgun sequence"
"NSPZ01000025.1 Pseudomonas aeruginosa strain LiP7 IPC1078_25.1, whole genome shotgun sequence"
"NSQA01000024.1 Pseudomonas aeruginosa strain LiP6 IPC1077_24.1, whole genome shotgun sequence"
"NSQD01000022.1 Pseudomonas aeruginosa strain LiP3 IPC1074_22.1, whole genome shotgun sequence"
"NSQK01000025.1 Pseudomonas aeruginosa strain H3 IPC1060_25.1, whole genome shotgun sequence"
"NSQM01000035.1 Pseudomonas aeruginosa strain F2 IPC1053_35.1, whole genome shotgun sequence"
"NSQO01000031.1 Pseudomonas aeruginosa strain D1 IPC1045_31.1, whole genome shotgun sequence"
"NSQN01000028.1 Pseudomonas aeruginosa strain E2_H133420224 IPC1048_28.1, whole genome shotgun sequence"
"NSQP01000023.1 Pseudomonas aeruginosa strain C3 IPC1043_23.1, whole genome shotgun sequence"
"NSQT01000028.1 Pseudomonas aeruginosa strain DUN-024-1 IPC1034_28.1, whole genome shotgun sequence"
"NSQR01000032.1 Pseudomonas aeruginosa strain A3 IPC1038_32.1, whole genome shotgun sequence"
"NSQS01000023.1 Pseudomonas aeruginosa strain DUN-001A IPC1035_23.1, whole genome shotgun sequence"
"NSQU01000032.1 Pseudomonas aeruginosa strain 020MIC IPC1033_32.1, whole genome shotgun sequence"
"NSQV01000031.1 Pseudomonas aeruginosa strain DUN-018 IPC1031_31.1, whole genome shotgun sequence"
"NSQW01000026.1 Pseudomonas aeruginosa strain DUN-015A IPC1027_26.1, whole genome shotgun sequence"
"NSRA01000020.1 Pseudomonas aeruginosa strain DUN-009B IPC1014_20.1, whole genome shotgun sequence"
"NSRB01000029.1 Pseudomonas aeruginosa strain DUN-008 IPC1008_29.1, whole genome shotgun sequence"
"NSRC01000033.1 Pseudomonas aeruginosa strain DUN-007-2 IPC1006_33.1, whole genome shotgun sequence"
"NSRE01000038.1 Pseudomonas aeruginosa strain DUN-004 IPC1001_38.1, whole genome shotgun sequence"
"NSRG01000033.1 Pseudomonas aeruginosa strain DUN-002C IPC991_33.1, whole genome shotgun sequence"
"NSRF01000032.1 Pseudomonas aeruginosa strain DUN-003B IPC995_32.1, whole genome shotgun sequence"
"NSRL01000018.1 Pseudomonas aeruginosa strain DUN-001-3B IPC984_18.1, whole genome shotgun sequence"
"NSRH01000025.1 Pseudomonas aeruginosa strain 001-6 IPC988_25.1, whole genome shotgun sequence"
"NSRI01000026.1 Pseudomonas aeruginosa strain 001-5B IPC987_26.1, whole genome shotgun sequence"
"NSRK01000025.1 Pseudomonas aeruginosa strain DUN-001-4 IPC985_25.1, whole genome shotgun sequence"
"NSRJ01000021.1 Pseudomonas aeruginosa strain 001-5A IPC986_21.1, whole genome shotgun sequence"
"NSRN01000021.1 Pseudomonas aeruginosa strain DUN-001-2B IPC982_21.1, whole genome shotgun sequence"
"NSRM01000024.1 Pseudomonas aeruginosa strain DUN-001-3A IPC983_24.1, whole genome shotgun sequence"
"NSRO01000024.1 Pseudomonas aeruginosa strain DUN-001-2A IPC981_24.1, whole genome shotgun sequence"
"NSRR01000024.1 Pseudomonas aeruginosa strain U454A IPC977_24.1, whole genome shotgun sequence"
"NSRP01000022.1 Pseudomonas aeruginosa strain DUN-001C IPC980_22.1, whole genome shotgun sequence"
"NSRS01000020.1 Pseudomonas aeruginosa strain U451 IPC976_20.1, whole genome shotgun sequence"
"NSRQ01000023.1 Pseudomonas aeruginosa strain DUN-001B IPC979_23.1, whole genome shotgun sequence"
"NSRV01000027.1 Pseudomonas aeruginosa strain U413A IPC962_27.1, whole genome shotgun sequence"
"NSRT01000026.1 Pseudomonas aeruginosa strain U435 IPC971_26.1, whole genome shotgun sequence"
"NSRW01000024.1 Pseudomonas aeruginosa strain U397A IPC954_24.1, whole genome shotgun sequence"
"NSRX01000023.1 Pseudomonas aeruginosa strain U372 IPC948_23.1, whole genome shotgun sequence"
"NSRY01000022.1 Pseudomonas aeruginosa strain U350 IPC946_22.1, whole genome shotgun sequence"
"NSSA01000023.1 Pseudomonas aeruginosa strain U0310A IPC935_23.1, whole genome shotgun sequence"
"NSRZ01000020.1 Pseudomonas aeruginosa strain U0330A IPC940_20.1, whole genome shotgun sequence"
"NSSB01000024.1 Pseudomonas aeruginosa strain U0306 IPC934_24.1, whole genome shotgun sequence"
"NSSC01000025.1 Pseudomonas aeruginosa strain U0288B IPC927_25.1, whole genome shotgun sequence"
"NSSG01000038.1 Pseudomonas aeruginosa strain S1983 IPC908_38.1, whole genome shotgun sequence"
"NSSD01000021.1 Pseudomonas aeruginosa strain U0284 IPC924_21.1, whole genome shotgun sequence"
"NSSF01000028.1 Pseudomonas aeruginosa strain MSB3405 IPC914_28.1, whole genome shotgun sequence"
"NSSE01000021.1 Pseudomonas aeruginosa strain U0272B IPC922_21.1, whole genome shotgun sequence"
"NSSJ01000028.1 Pseudomonas aeruginosa strain S2239_16 IPC903_28.1, whole genome shotgun sequence"
"NSSH01000023.1 Pseudomonas aeruginosa strain MSB2949 IPC907_23.1, whole genome shotgun sequence"
"NSSI01000006.1 Pseudomonas aeruginosa strain S2820 IPC905_6.1, whole genome shotgun sequence"
"NSSK01000023.1 Pseudomonas aeruginosa strain S2239_15 IPC902_23.1, whole genome shotgun sequence"
"NSSM01000020.1 Pseudomonas aeruginosa strain JD303 IPC887_20.1, whole genome shotgun sequence"
"NSSN01000029.1 Pseudomonas aeruginosa strain Pae110 IPC886_29.1, whole genome shotgun sequence"
"NSSQ01000029.1 Pseudomonas aeruginosa strain PT31M IPC881_29.1, whole genome shotgun sequence"
"NSSU01000048.1 Pseudomonas aeruginosa strain LMG2107 IPC877_48.1, whole genome shotgun sequence"
"NSSR01000042.1 Pseudomonas aeruginosa strain PhDW6 IPC880_42.1, whole genome shotgun sequence"
"NSSY01000044.1 Pseudomonas aeruginosa strain Aa249 IPC858_44.1, whole genome shotgun sequence"
"NSSZ01000029.1 Pseudomonas aeruginosa strain Mi159 IPC856_29.1, whole genome shotgun sequence"
"NSTE01000016.1 Pseudomonas aeruginosa strain LiA63_2006 IPC790_16.1, whole genome shotgun sequence"
"NSTB01000037.1 Pseudomonas aeruginosa strain W5Aug16 IPC830_37.1, whole genome shotgun sequence"
"NSTA01000034.1 Pseudomonas aeruginosa strain Br670 IPC838_34.1, whole genome shotgun sequence"
"NSTG01000017.1 Pseudomonas aeruginosa strain LiA18_2003 IPC786_17.1, whole genome shotgun sequence"
"NSTF01000041.1 Pseudomonas aeruginosa strain LiA50_2005 IPC789_41.1, whole genome shotgun sequence"
"NSTI01000037.1 Pseudomonas aeruginosa strain LiA161_2005 IPC782_37.1, whole genome shotgun sequence"
"NSTJ01000046.1 Pseudomonas aeruginosa strain LiA145_2005 IPC780_46.1, whole genome shotgun sequence"
"NSTN01000041.1 Pseudomonas aeruginosa strain Jp245 IPC756_41.1, whole genome shotgun sequence"
"NSTQ01000027.1 Pseudomonas aeruginosa strain Jp54 IPC747_27.1, whole genome shotgun sequence"
"NSTP01000025.1 Pseudomonas aeruginosa strain Jp97 IPC749_25.1, whole genome shotgun sequence"
"NSTS01000030.1 Pseudomonas aeruginosa strain J9UH1F IPC742_30.1, whole genome shotgun sequence"
"NSTT01000018.1 Pseudomonas aeruginosa strain Tu61 IPC740_18.1, whole genome shotgun sequence"
"NSTU01000022.1 Pseudomonas aeruginosa strain CPHL10701 IPC738_22.1, whole genome shotgun sequence"
"NSTV01000023.1 Pseudomonas aeruginosa strain CPHL10662 IPC737_23.1, whole genome shotgun sequence"
"NSTW01000028.1 Pseudomonas aeruginosa strain CPHL10299 IPC736_28.1, whole genome shotgun sequence"
"NSTZ01000024.1 Pseudomonas aeruginosa strain CPHL6749 IPC731_24.1, whole genome shotgun sequence"
"NSTY01000042.1 Pseudomonas aeruginosa strain CPHL8058 IPC733_42.1, whole genome shotgun sequence"
"NSUA01000019.1 Pseudomonas aeruginosa strain CPHL5083 IPC730_19.1, whole genome shotgun sequence"
"NSUC01000020.1 Pseudomonas aeruginosa strain CPHL1999 IPC728_20.1, whole genome shotgun sequence"
"NSUD01000021.1 Pseudomonas aeruginosa strain CPHL950 IPC727_21.1, whole genome shotgun sequence"
"NSUE01000035.1 Pseudomonas aeruginosa strain IDEXX_Canine8 IPC725_35.1, whole genome shotgun sequence"
"NSUG01000037.1 Pseudomonas aeruginosa strain IC1 IPC720_37.1, whole genome shotgun sequence"
"NSUJ01000054.1 Pseudomonas aeruginosa strain 5BR2 IPC713_54.1, whole genome shotgun sequence"
"NSUI01000021.1 Pseudomonas aeruginosa strain C3128 IPC715_21.1, whole genome shotgun sequence"
"NSUH01000050.1 Pseudomonas aeruginosa strain Co380791 IPC718_50.1, whole genome shotgun sequence"
"NSUN01000023.1 Pseudomonas aeruginosa strain 59.20 IPC703_23.1, whole genome shotgun sequence"
