"MVGV01000005.1 Pseudomonas aeruginosa strain ATCC BAA-2108 IPC1576_5.1, whole genome shotgun sequence"
"NSQE01000001.1 Pseudomonas aeruginosa strain LiP2c IPC1073_1.1, whole genome shotgun sequence"
"NSQF01000001.1 Pseudomonas aeruginosa strain LiP2b IPC1072_1.1, whole genome shotgun sequence"
"NSQD01000002.1 Pseudomonas aeruginosa strain LiP3 IPC1074_2.1, whole genome shotgun sequence"
"NSQK01000004.1 Pseudomonas aeruginosa strain H3 IPC1060_4.1, whole genome shotgun sequence"
"NSQG01000001.1 Pseudomonas aeruginosa strain LiP2a IPC1071_1.1, whole genome shotgun sequence"
"NSQJ01000002.1 Pseudomonas aeruginosa strain LiP1a IPC1067_2.1, whole genome shotgun sequence"
"NSQI01000001.1 Pseudomonas aeruginosa strain LiP1c IPC1069_1.1, whole genome shotgun sequence"
"NSQM01000013.1 Pseudomonas aeruginosa strain F2 IPC1053_13.1, whole genome shotgun sequence"
"NSQS01000002.1 Pseudomonas aeruginosa strain DUN-001A IPC1035_2.1, whole genome shotgun sequence"
"NSQV01000002.1 Pseudomonas aeruginosa strain DUN-018 IPC1031_2.1, whole genome shotgun sequence"
"NSRG01000001.1 Pseudomonas aeruginosa strain DUN-002C IPC991_1.1, whole genome shotgun sequence"
"NSRH01000004.1 Pseudomonas aeruginosa strain 001-6 IPC988_4.1, whole genome shotgun sequence"
"NSRL01000004.1 Pseudomonas aeruginosa strain DUN-001-3B IPC984_4.1, whole genome shotgun sequence"
"NSRI01000003.1 Pseudomonas aeruginosa strain 001-5B IPC987_3.1, whole genome shotgun sequence"
"NSRJ01000004.1 Pseudomonas aeruginosa strain 001-5A IPC986_4.1, whole genome shotgun sequence"
"NSRK01000003.1 Pseudomonas aeruginosa strain DUN-001-4 IPC985_3.1, whole genome shotgun sequence"
"NSRN01000004.1 Pseudomonas aeruginosa strain DUN-001-2B IPC982_4.1, whole genome shotgun sequence"
"NSRM01000004.1 Pseudomonas aeruginosa strain DUN-001-3A IPC983_4.1, whole genome shotgun sequence"
"NSRO01000004.1 Pseudomonas aeruginosa strain DUN-001-2A IPC981_4.1, whole genome shotgun sequence"
"NSRR01000003.1 Pseudomonas aeruginosa strain U454A IPC977_3.1, whole genome shotgun sequence"
"NSRP01000003.1 Pseudomonas aeruginosa strain DUN-001C IPC980_3.1, whole genome shotgun sequence"
"NSRQ01000003.1 Pseudomonas aeruginosa strain DUN-001B IPC979_3.1, whole genome shotgun sequence"
"NSRU01000002.1 Pseudomonas aeruginosa strain U421 IPC965_2.1, whole genome shotgun sequence"
"NSRT01000003.1 Pseudomonas aeruginosa strain U435 IPC971_3.1, whole genome shotgun sequence"
"NSSA01000001.1 Pseudomonas aeruginosa strain U0310A IPC935_1.1, whole genome shotgun sequence"
"NSSB01000002.1 Pseudomonas aeruginosa strain U0306 IPC934_2.1, whole genome shotgun sequence"
"NSSF01000003.1 Pseudomonas aeruginosa strain MSB3405 IPC914_3.1, whole genome shotgun sequence"
"NSSJ01000011.1 Pseudomonas aeruginosa strain S2239_16 IPC903_11.1, whole genome shotgun sequence"
"NSSH01000003.1 Pseudomonas aeruginosa strain MSB2949 IPC907_3.1, whole genome shotgun sequence"
"NSSS01000001.1 Pseudomonas aeruginosa strain Lw1047 IPC879_1.1, whole genome shotgun sequence"
"NSTY01000002.1 Pseudomonas aeruginosa strain CPHL8058 IPC733_2.1, whole genome shotgun sequence"
"NSUC01000001.1 Pseudomonas aeruginosa strain CPHL1999 IPC728_1.1, whole genome shotgun sequence"
"NSUB01000002.1 Pseudomonas aeruginosa strain CPHL2000 IPC729_2.1, whole genome shotgun sequence"
"NSUH01000034.1 Pseudomonas aeruginosa strain Co380791 IPC718_34.1, whole genome shotgun sequence"
"NSUM01000003.1 Pseudomonas aeruginosa strain CN573=PSE143 IPC705_3.1, whole genome shotgun sequence"
"NSUK01000018.1 Pseudomonas aeruginosa strain ESP06B IPC710_18.1, whole genome shotgun sequence"
"NSUO01000002.1 Pseudomonas aeruginosa strain C5311 IPC700_2.1, whole genome shotgun sequence"
"NSUT01000006.1 Pseudomonas aeruginosa strain A19 IPC694_6.1, whole genome shotgun sequence"
"NSVA01000003.1 Pseudomonas aeruginosa strain So098 IPC677_3.1, whole genome shotgun sequence"
"NSVE01000018.1 Pseudomonas aeruginosa strain HPA16 IPC651_18.1, whole genome shotgun sequence"
"NSVD01000018.1 Pseudomonas aeruginosa strain Co398373 IPC664_18.1, whole genome shotgun sequence"
"NSVF01000017.1 Pseudomonas aeruginosa strain HPA12 IPC648_17.1, whole genome shotgun sequence"
"NSVH01000017.1 Pseudomonas aeruginosa strain HPA6 IPC642_17.1, whole genome shotgun sequence"
"NSVG01000018.1 Pseudomonas aeruginosa strain HPA8 IPC644_18.1, whole genome shotgun sequence"
"NSVL01000001.1 Pseudomonas aeruginosa strain AMT0046-109 IPC563_1.1, whole genome shotgun sequence"
"NSVP01000003.1 Pseudomonas aeruginosa strain AMT0020-1 IPC550_3.1, whole genome shotgun sequence"
"NSVX01000010.1 Pseudomonas aeruginosa strain AUS149 IPC509_10.1, whole genome shotgun sequence"
"NSWS01000001.1 Pseudomonas aeruginosa strain AUS263 IPC453_1.1, whole genome shotgun sequence"
"NSWW01000001.1 Pseudomonas aeruginosa strain AUS496 IPC441_1.1, whole genome shotgun sequence"
"NSWY01000005.1 Pseudomonas aeruginosa strain AUS489 IPC438_5.1, whole genome shotgun sequence"
"NSXB01000001.1 Pseudomonas aeruginosa strain AUS430 IPC430_1.1, whole genome shotgun sequence"
"NSXH01000002.1 Pseudomonas aeruginosa strain AUS506 IPC389_2.1, whole genome shotgun sequence"
"NSXK01000003.1 Pseudomonas aeruginosa strain AUS134 IPC375_3.1, whole genome shotgun sequence"
"NSXN01000002.1 Pseudomonas aeruginosa strain AUS119 IPC364_2.1, whole genome shotgun sequence"
"NSXP01000006.1 Pseudomonas aeruginosa strain AUS106 IPC355_6.1, whole genome shotgun sequence"
"NSXS01000004.1 Pseudomonas aeruginosa strain AUS093 IPC352_4.1, whole genome shotgun sequence"
"NSXU01000004.1 Pseudomonas aeruginosa strain AUS077 IPC347_4.1, whole genome shotgun sequence"
"NSXV01000007.1 Pseudomonas aeruginosa strain AUS073 IPC346_7.1, whole genome shotgun sequence"
"NSXY01000007.1 Pseudomonas aeruginosa strain AUS702 IPC339_7.1, whole genome shotgun sequence"
"NSYB01000005.1 Pseudomonas aeruginosa strain AUS304 IPC327_5.1, whole genome shotgun sequence"
"NSYF01000003.1 Pseudomonas aeruginosa strain AUS238 IPC309_3.1, whole genome shotgun sequence"
"NSYH01000004.1 Pseudomonas aeruginosa strain AUS058 IPC306_4.1, whole genome shotgun sequence"
"NSYT01000003.1 Pseudomonas aeruginosa strain AUS407 IPC276_3.1, whole genome shotgun sequence"
"NSZI01000002.1 Pseudomonas aeruginosa strain AUS465 IPC227_2.1, whole genome shotgun sequence"
"NSZG01000002.1 Pseudomonas aeruginosa strain AUS210 IPC231_2.1, whole genome shotgun sequence"
"NSZK01000004.1 Pseudomonas aeruginosa strain AUS205 IPC224_4.1, whole genome shotgun sequence"
"NSZQ01000001.1 Pseudomonas aeruginosa strain AUS127 IPC197_1.1, whole genome shotgun sequence"
"NSZP01000001.1 Pseudomonas aeruginosa strain AUS183 IPC201_1.1, whole genome shotgun sequence"
"NTAB01000003.1 Pseudomonas aeruginosa strain 982 IPC99_3.1, whole genome shotgun sequence"
"NTAF01000016.1 Pseudomonas aeruginosa strain Mi162 IPC90_16.1, whole genome shotgun sequence"
"NTAH01000008.1 Pseudomonas aeruginosa strain PA-W48 IPC24_8.1, whole genome shotgun sequence"
"NTAN01000004.1 Pseudomonas aeruginosa strain PA-W27 IPC17_4.1, whole genome shotgun sequence"
"NTAO01000006.1 Pseudomonas aeruginosa strain PA-W26 IPC16_6.1, whole genome shotgun sequence"
"NTAQ01000001.1 Pseudomonas aeruginosa strain PA-W22 IPC14_1.1, whole genome shotgun sequence"
"NTBD01000001.1 Pseudomonas aeruginosa strain PA-W2 IPC1_1.1, whole genome shotgun sequence"
"RWZN01000006.1 Pseudomonas aeruginosa strain SMC1596 IPC1618_6.1, whole genome shotgun sequence"
"RWZW01000003.1 Pseudomonas aeruginosa strain NN5 IPC1433_3.1, whole genome shotgun sequence"
"RXAA01000013.1 Pseudomonas aeruginosa strain OY3 IPC1427_13.1, whole genome shotgun sequence"
"RWZU01000003.1 Pseudomonas aeruginosa strain Zw64_2 IPC1436_3.1, whole genome shotgun sequence"
"RXAG01000003.1 Pseudomonas aeruginosa strain HCF367 IPC1415_3.1, whole genome shotgun sequence"
"RWZZ01000014.1 Pseudomonas aeruginosa strain BJ2 IPC1428_14.1, whole genome shotgun sequence"
"RXAE01000002.1 Pseudomonas aeruginosa strain HCF5 IPC1419_2.1, whole genome shotgun sequence"
"RXAM01000004.1 Pseudomonas aeruginosa strain HCF55 IPC1407_4.1, whole genome shotgun sequence"
"RXAO01000002.1 Pseudomonas aeruginosa strain HCF19 IPC1401_2.1, whole genome shotgun sequence"
"RXBB01000004.1 Pseudomonas aeruginosa strain H2 IPC1375_4.1, whole genome shotgun sequence"
"RXBH01000014.1 Pseudomonas aeruginosa strain MCF149 IPC1365_14.1, whole genome shotgun sequence"
"RXBJ01000007.1 Pseudomonas aeruginosa strain MCF1018 IPC1363_7.1, whole genome shotgun sequence"
"RXBM01000008.1 Pseudomonas aeruginosa strain MCF430 IPC1360_8.1, whole genome shotgun sequence"
"RXBR01000003.1 Pseudomonas aeruginosa strain JYH21 IPC1232_3.1, whole genome shotgun sequence"
"RXBX01000004.1 Pseudomonas aeruginosa strain JYH9 IPC1220_4.1, whole genome shotgun sequence"
"RXCK01000002.1 Pseudomonas aeruginosa strain U2816 IPC1115_2.1, whole genome shotgun sequence"
"RXDI01000001.1 Pseudomonas aeruginosa strain AMT0046-107 IPC561_1.1, whole genome shotgun sequence"
"RXDX01000004.1 Pseudomonas aeruginosa strain AUS526 IPC450_4.1, whole genome shotgun sequence"
"RXEA01000001.1 Pseudomonas aeruginosa strain AUS510 IPC447_1.1, whole genome shotgun sequence"
"RXEE01000002.1 Pseudomonas aeruginosa strain AUS464 IPC432_2.1, whole genome shotgun sequence"
"RXEN01000003.1 Pseudomonas aeruginosa strain AUS155 IPC394_3.1, whole genome shotgun sequence"
"RXEJ01000004.1 Pseudomonas aeruginosa strain AUS174 IPC411_4.1, whole genome shotgun sequence"
"RXEI01000003.1 Pseudomonas aeruginosa strain AUS175 IPC412_3.1, whole genome shotgun sequence"
"RXEO01000005.1 Pseudomonas aeruginosa strain AUS153 IPC392_5.1, whole genome shotgun sequence"
"RXEV01000005.1 Pseudomonas aeruginosa strain AUS122 IPC367_5.1, whole genome shotgun sequence"
"RXEW01000003.1 Pseudomonas aeruginosa strain AUS110 IPC357_3.1, whole genome shotgun sequence"
"RXFA01000001.1 Pseudomonas aeruginosa strain AUS277 IPC317_1.1, whole genome shotgun sequence"
"RXEZ01000001.1 Pseudomonas aeruginosa strain AUS527 IPC324_1.1, whole genome shotgun sequence"
"RXFF01000003.1 Pseudomonas aeruginosa strain AUS258 IPC249_3.1, whole genome shotgun sequence"
"RXFJ01000002.1 Pseudomonas aeruginosa strain AUS214 IPC236_2.1, whole genome shotgun sequence"
"RWKZ01000002.1 Pseudomonas aeruginosa strain 21 IPC1604_2.1, whole genome shotgun sequence"
"RWLC01000002.1 Pseudomonas aeruginosa strain 18 IPC1601_2.1, whole genome shotgun sequence"
"RWLE01000005.1 Pseudomonas aeruginosa strain 16 IPC1599_5.1, whole genome shotgun sequence"
"RWLK01000003.1 Pseudomonas aeruginosa strain 11 IPC1593_3.1, whole genome shotgun sequence"
"RWLS01000009.1 Pseudomonas aeruginosa strain 3 IPC1585_9.1, whole genome shotgun sequence"
"RWLR01000001.1 Pseudomonas aeruginosa strain 4 IPC1586_1.1, whole genome shotgun sequence"
"RWLT01000003.1 Pseudomonas aeruginosa strain 2.1 IPC1584_3.1, whole genome shotgun sequence"
"RWMA01000144.1 Pseudomonas aeruginosa strain 5054408345 IPC1518_144.1, whole genome shotgun sequence"
"RWMF01000003.1 Pseudomonas aeruginosa strain 5024382738-25 IPC1513_3.1, whole genome shotgun sequence"
"RWMT01000014.1 Pseudomonas aeruginosa strain 9092533235 IPC1499_14.1, whole genome shotgun sequence"
"RWNB01000004.1 Pseudomonas aeruginosa strain 5054408350-20 IPC1489_4.1, whole genome shotgun sequence"
"RWNE01000008.1 Pseudomonas aeruginosa strain 5034388498-21 IPC1486_8.1, whole genome shotgun sequence"
"RWNF01000006.1 Pseudomonas aeruginosa strain 5034388498-20 IPC1485_6.1, whole genome shotgun sequence"
"RWNJ01000003.1 Pseudomonas aeruginosa strain 41004355322 IPC1478_3.1, whole genome shotgun sequence"
"RWNK01000001.1 Pseudomonas aeruginosa strain 5054407658-17 IPC1477_1.1, whole genome shotgun sequence"
"RWNL01000003.1 Pseudomonas aeruginosa strain 5054407658-16 IPC1476_3.1, whole genome shotgun sequence"
"RWNN01000004.1 Pseudomonas aeruginosa strain 6102 IPC1349_4.1, whole genome shotgun sequence"
"RWNS01000015.1 Pseudomonas aeruginosa strain 6096 IPC1343_15.1, whole genome shotgun sequence"
"RWNV01000001.1 Pseudomonas aeruginosa strain 6092.3 IPC1340_1.1, whole genome shotgun sequence"
"RWNT01000008.1 Pseudomonas aeruginosa strain 6095 IPC1342_8.1, whole genome shotgun sequence"
"RWNW01000002.1 Pseudomonas aeruginosa strain 6092.2 IPC1339_2.1, whole genome shotgun sequence"
"RWOD01000002.1 Pseudomonas aeruginosa strain 6086.1 IPC1332_2.1, whole genome shotgun sequence"
"RWOF01000002.1 Pseudomonas aeruginosa strain 6004 IPC1330_2.1, whole genome shotgun sequence"
"RWOJ01000011.1 Pseudomonas aeruginosa strain 6000.2 IPC1326_11.1, whole genome shotgun sequence"
"RWOI01000004.1 Pseudomonas aeruginosa strain 6000.3 IPC1327_4.1, whole genome shotgun sequence"
"RWOK01000008.1 Pseudomonas aeruginosa strain 6000.1 IPC1325_8.1, whole genome shotgun sequence"
"RWOH01000003.1 Pseudomonas aeruginosa strain 6001 IPC1328_3.1, whole genome shotgun sequence"
"RWOQ01000005.1 Pseudomonas aeruginosa strain 5996 IPC1319_5.1, whole genome shotgun sequence"
"RWOZ01000011.1 Pseudomonas aeruginosa strain 5989 IPC1310_11.1, whole genome shotgun sequence"
"RWPA01000004.1 Pseudomonas aeruginosa strain 5988.3 IPC1309_4.1, whole genome shotgun sequence"
"RWPC01000003.1 Pseudomonas aeruginosa strain 5987 IPC1307_3.1, whole genome shotgun sequence"
"RWPE01000008.1 Pseudomonas aeruginosa strain PA-CL549 IPC634_8.1, whole genome shotgun sequence"
"RWPG01000010.1 Pseudomonas aeruginosa strain PA-CL545b IPC632_10.1, whole genome shotgun sequence"
"RWPF01000013.1 Pseudomonas aeruginosa strain PA-CL547b IPC633_13.1, whole genome shotgun sequence"
"RWPH01000010.1 Pseudomonas aeruginosa strain PA-CL542b IPC630_10.1, whole genome shotgun sequence"
"RWPK01000009.1 Pseudomonas aeruginosa strain PA-CL534a IPC625_9.1, whole genome shotgun sequence"
"RWPI01000010.1 Pseudomonas aeruginosa strain PA-CL542a IPC629_10.1, whole genome shotgun sequence"
"RWPM01000010.1 Pseudomonas aeruginosa strain PA-CL529 IPC623_10.1, whole genome shotgun sequence"
"RWPN01000003.1 Pseudomonas aeruginosa strain PA-CL528 IPC622_3.1, whole genome shotgun sequence"
"RWPO01000013.1 Pseudomonas aeruginosa strain PA-CL527 IPC621_13.1, whole genome shotgun sequence"
"RWQG01000010.1 Pseudomonas aeruginosa strain PA-CL507 IPC601_10.1, whole genome shotgun sequence"
"RWQF01000010.1 Pseudomonas aeruginosa strain PA-CL508 IPC602_10.1, whole genome shotgun sequence"
"RWQJ01000007.1 Pseudomonas aeruginosa strain PA-CL504 IPC598_7.1, whole genome shotgun sequence"
"RWQH01000010.1 Pseudomonas aeruginosa strain PA-CL506b IPC600_10.1, whole genome shotgun sequence"
"RWQI01000003.1 Pseudomonas aeruginosa strain PA-CL505 IPC599_3.1, whole genome shotgun sequence"
"RWQL01000004.1 Pseudomonas aeruginosa strain PA-CL501 IPC596_4.1, whole genome shotgun sequence"
"RWQK01000012.1 Pseudomonas aeruginosa strain PA-CL502 IPC597_12.1, whole genome shotgun sequence"
"RWQW01000003.1 Pseudomonas aeruginosa strain PAC97A IPC184_3.1, whole genome shotgun sequence"
"RWRD01000008.1 Pseudomonas aeruginosa strain PAC76A IPC177_8.1, whole genome shotgun sequence"
"RWRE01000002.1 Pseudomonas aeruginosa strain PAC60A IPC176_2.1, whole genome shotgun sequence"
"RWRF01000003.1 Pseudomonas aeruginosa strain PAC127B IPC175_3.1, whole genome shotgun sequence"
"RWRH01000002.1 Pseudomonas aeruginosa strain PAC38B IPC173_2.1, whole genome shotgun sequence"
"RWRG01000003.1 Pseudomonas aeruginosa strain PAC127A IPC174_3.1, whole genome shotgun sequence"
"RWRI01000003.1 Pseudomonas aeruginosa strain PAC38A IPC172_3.1, whole genome shotgun sequence"
"RWRJ01000001.1 Pseudomonas aeruginosa strain PAC98D IPC171_1.1, whole genome shotgun sequence"
"RWRM01000002.1 Pseudomonas aeruginosa strain PAC98A IPC168_2.1, whole genome shotgun sequence"
"RWRL01000002.1 Pseudomonas aeruginosa strain PAC98B IPC169_2.1, whole genome shotgun sequence"
"RWRK01000001.1 Pseudomonas aeruginosa strain PAC98C IPC170_1.1, whole genome shotgun sequence"
"RWRN01000003.1 Pseudomonas aeruginosa strain PAC80A IPC167_3.1, whole genome shotgun sequence"
"RWRO01000002.1 Pseudomonas aeruginosa strain PAC70B IPC166_2.1, whole genome shotgun sequence"
"RWRR01000002.1 Pseudomonas aeruginosa strain PAC31B IPC163_2.1, whole genome shotgun sequence"
"RWRP01000003.1 Pseudomonas aeruginosa strain PAC70A IPC165_3.1, whole genome shotgun sequence"
"RWRQ01000001.1 Pseudomonas aeruginosa strain PAC42A IPC164_1.1, whole genome shotgun sequence"
"RWSC01000002.1 Pseudomonas aeruginosa strain PAC84A IPC151_2.1, whole genome shotgun sequence"
"RWSD01000002.1 Pseudomonas aeruginosa strain PAC22A IPC150_2.1, whole genome shotgun sequence"
"RWSK01000001.1 Pseudomonas aeruginosa strain PAC56B IPC143_1.1, whole genome shotgun sequence"
"RWSL01000004.1 Pseudomonas aeruginosa strain PAC56A IPC142_4.1, whole genome shotgun sequence"
"RWSN01000005.1 Pseudomonas aeruginosa strain PAC15B IPC140_5.1, whole genome shotgun sequence"
"RWSM01000002.1 Pseudomonas aeruginosa strain PAC17A IPC141_2.1, whole genome shotgun sequence"
"RWSO01000014.1 Pseudomonas aeruginosa strain PAC15A IPC139_14.1, whole genome shotgun sequence"
"RWSQ01000003.1 Pseudomonas aeruginosa strain PAC117B IPC135_3.1, whole genome shotgun sequence"
"RWSS01000003.1 Pseudomonas aeruginosa strain PAC13C IPC133_3.1, whole genome shotgun sequence"
"RWTC01000001.1 Pseudomonas aeruginosa strain PAC9A IPC123_1.1, whole genome shotgun sequence"
"RWUD01000003.1 Pseudomonas aeruginosa strain 286S270711BSL_PA1 IPC61_3.1, whole genome shotgun sequence"
"RWUN01000003.1 Pseudomonas aeruginosa strain 197S020911BSL_PA4 IPC49_3.1, whole genome shotgun sequence"
"RWUP01000003.1 Pseudomonas aeruginosa strain 197S020911BSL_PA2 IPC47_3.1, whole genome shotgun sequence"
"RWUQ01000004.1 Pseudomonas aeruginosa strain 197S020911BSL_PA1 IPC46_4.1, whole genome shotgun sequence"
"RWUV01000003.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA1 IPC41_3.1, whole genome shotgun sequence"
"RWPJ01000011.1 Pseudomonas aeruginosa strain PA-CL534x IPC627_11.1, whole genome shotgun sequence"
"RWRS01000001.1 Pseudomonas aeruginosa strain PAC31A IPC162_1.1, whole genome shotgun sequence"
"RWUU01000006.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA2 IPC42_6.1, whole genome shotgun sequence"
"MCMD01000014.1 Pseudomonas aeruginosa strain 239A isolate 13121-1 IPC1269_14.1, whole genome shotgun sequence"
"NSMS01000017.1 Pseudomonas aeruginosa strain E1-WATER-2 IPC1469_17.1, whole genome shotgun sequence"
"RWZP01000001.1 Pseudomonas aeruginosa strain SMC1587 IPC1616_1.1, whole genome shotgun sequence"
"RWTW01000004.1 Pseudomonas aeruginosa strain 318S170811BSL_PA1 IPC71_4.1, whole genome shotgun sequence"
"MCLZ01000005.1 Pseudomonas aeruginosa strain 3C52 isolate TBCF10839 IPC1273_5.1, whole genome shotgun sequence"
"MCMG01000002.1 Pseudomonas aeruginosa strain EC2A isolate CHA IPC1262_2.1, whole genome shotgun sequence"
"MCMS01000003.1 Pseudomonas aeruginosa strain 3C1A isolate Jpn1563 IPC91_3.1, whole genome shotgun sequence"
"MCMU01000011.1 Pseudomonas aeruginosa strain 0C4A isolate 679 IPC87_11.1, whole genome shotgun sequence"
"MCMY01000005.1 Pseudomonas aeruginosa strain 55AA isolate PAK IPC83_5.1, whole genome shotgun sequence"
"NSMT01000005.1 Pseudomonas aeruginosa strain AL561 IPC1353_5.1, whole genome shotgun sequence"
"NSMY01000008.1 Pseudomonas aeruginosa strain PA-W44 IPC1301_8.1, whole genome shotgun sequence"
"NSND01000004.1 Pseudomonas aeruginosa strain PA-W37 IPC1296_4.1, whole genome shotgun sequence"
"NSOF01000007.1 Pseudomonas aeruginosa strain JYH22 IPC1233_7.1, whole genome shotgun sequence"
"NSOH01000001.1 Pseudomonas aeruginosa strain JYH16 IPC1227_1.1, whole genome shotgun sequence"
"NSOJ01000012.1 Pseudomonas aeruginosa strain JYH12 IPC1223_12.1, whole genome shotgun sequence"
"NSQA01000003.1 Pseudomonas aeruginosa strain LiP6 IPC1077_3.1, whole genome shotgun sequence"
"NSQT01000008.1 Pseudomonas aeruginosa strain DUN-024-1 IPC1034_8.1, whole genome shotgun sequence"
"NSQY01000008.1 Pseudomonas aeruginosa strain DUN-013 IPC1018_8.1, whole genome shotgun sequence"
"NSQW01000001.1 Pseudomonas aeruginosa strain DUN-015A IPC1027_1.1, whole genome shotgun sequence"
"NSSI01000002.1 Pseudomonas aeruginosa strain S2820 IPC905_2.1, whole genome shotgun sequence"
"NSSK01000004.1 Pseudomonas aeruginosa strain S2239_15 IPC902_4.1, whole genome shotgun sequence"
"NSSN01000005.1 Pseudomonas aeruginosa strain Pae110 IPC886_5.1, whole genome shotgun sequence"
"NSTA01000006.1 Pseudomonas aeruginosa strain Br670 IPC838_6.1, whole genome shotgun sequence"
"NSTI01000004.1 Pseudomonas aeruginosa strain LiA161_2005 IPC782_4.1, whole genome shotgun sequence"
"NSTQ01000007.1 Pseudomonas aeruginosa strain Jp54 IPC747_7.1, whole genome shotgun sequence"
"NSTS01000003.1 Pseudomonas aeruginosa strain J9UH1F IPC742_3.1, whole genome shotgun sequence"
"NSUX01000001.1 Pseudomonas aeruginosa strain A11 IPC690_1.1, whole genome shotgun sequence"
"NSUW01000002.1 Pseudomonas aeruginosa strain A13 IPC691_2.1, whole genome shotgun sequence"
"NSUY01000002.1 Pseudomonas aeruginosa strain A10 IPC689_2.1, whole genome shotgun sequence"
"NSVB01000020.1 Pseudomonas aeruginosa strain PN586(35)w IPC669_20.1, whole genome shotgun sequence"
"NSWQ01000002.1 Pseudomonas aeruginosa strain AUS674 IPC462_2.1, whole genome shotgun sequence"
"NSWX01000003.1 Pseudomonas aeruginosa strain AUS491 IPC440_3.1, whole genome shotgun sequence"
"NSXM01000003.1 Pseudomonas aeruginosa strain AUS120 IPC365_3.1, whole genome shotgun sequence"
"NSXT01000001.1 Pseudomonas aeruginosa strain AUS089 IPC349_1.1, whole genome shotgun sequence"
"NSYA01000002.1 Pseudomonas aeruginosa strain AUS026 IPC334_2.1, whole genome shotgun sequence"
"NSYG01000002.1 Pseudomonas aeruginosa strain AUS336 IPC308_2.1, whole genome shotgun sequence"
"NSYR01000001.1 Pseudomonas aeruginosa strain AUS301 IPC279_1.1, whole genome shotgun sequence"
"NSZN01000006.1 Pseudomonas aeruginosa strain AUS186 IPC205_6.1, whole genome shotgun sequence"
"NSZZ01000003.1 Pseudomonas aeruginosa strain 994 IPC101_3.1, whole genome shotgun sequence"
"NTAW01000001.1 Pseudomonas aeruginosa strain PA-W13 IPC8_1.1, whole genome shotgun sequence"
