"MVGX01000007.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_7.1, whole genome shotgun sequence"
"NSXU01000038.1 Pseudomonas aeruginosa strain AUS077 IPC347_38.1, whole genome shotgun sequence"
"NSXW01000011.1 Pseudomonas aeruginosa strain AUS066 IPC345_11.1, whole genome shotgun sequence"
"NSXT01000004.1 Pseudomonas aeruginosa strain AUS089 IPC349_4.1, whole genome shotgun sequence"
"NSXY01000015.1 Pseudomonas aeruginosa strain AUS702 IPC339_15.1, whole genome shotgun sequence"
"NSXV01000003.1 Pseudomonas aeruginosa strain AUS073 IPC346_3.1, whole genome shotgun sequence"
"NSYA01000007.1 Pseudomonas aeruginosa strain AUS026 IPC334_7.1, whole genome shotgun sequence"
"NSYB01000004.1 Pseudomonas aeruginosa strain AUS304 IPC327_4.1, whole genome shotgun sequence"
"NSYE01000025.1 Pseudomonas aeruginosa strain AUS355 IPC312_24.1, whole genome shotgun sequence"
"NSYD01000004.1 Pseudomonas aeruginosa strain AUS389 IPC321_4.1, whole genome shotgun sequence"
"NSYG01000002.1 Pseudomonas aeruginosa strain AUS336 IPC308_2.1, whole genome shotgun sequence"
"NSYF01000001.1 Pseudomonas aeruginosa strain AUS238 IPC309_1.1, whole genome shotgun sequence"
"NSYJ01000004.1 Pseudomonas aeruginosa strain AUS504 IPC297_4.1, whole genome shotgun sequence"
"NSYL01000006.1 Pseudomonas aeruginosa strain AUS306 IPC294_6.1, whole genome shotgun sequence"
"NSYT01000008.1 Pseudomonas aeruginosa strain AUS407 IPC276_8.1, whole genome shotgun sequence"
"NSYX01000015.1 Pseudomonas aeruginosa strain AUS462 IPC266_15.1, whole genome shotgun sequence"
"NSYW01000030.1 Pseudomonas aeruginosa strain AUS083 IPC271_30.1, whole genome shotgun sequence"
"NSYU01000004.1 Pseudomonas aeruginosa strain AUS343 IPC274_4.1, whole genome shotgun sequence"
"NSZI01000004.1 Pseudomonas aeruginosa strain AUS465 IPC227_4.1, whole genome shotgun sequence"
"NSZG01000008.1 Pseudomonas aeruginosa strain AUS210 IPC231_8.1, whole genome shotgun sequence"
"NSZH01000005.1 Pseudomonas aeruginosa strain AUS438 IPC228_5.1, whole genome shotgun sequence"
"NSZQ01000006.1 Pseudomonas aeruginosa strain AUS127 IPC197_6.1, whole genome shotgun sequence"
"NSZP01000008.1 Pseudomonas aeruginosa strain AUS183 IPC201_8.1, whole genome shotgun sequence"
"NTAB01000010.1 Pseudomonas aeruginosa strain 982 IPC99_10.1, whole genome shotgun sequence"
"NTAK01000002.1 Pseudomonas aeruginosa strain PA-W35 IPC20_2.1, whole genome shotgun sequence"
"NTAS01000006.1 Pseudomonas aeruginosa strain PA-W19 IPC12_6.1, whole genome shotgun sequence"
"NTAV01000005.1 Pseudomonas aeruginosa strain PA-W15 IPC9_5.1, whole genome shotgun sequence"
"NTAY01000004.1 Pseudomonas aeruginosa strain PA-W11 IPC6_4.1, whole genome shotgun sequence"
"RWZJ01000003.1 Pseudomonas aeruginosa strain 32CFBRPA IPC1622_3.1, whole genome shotgun sequence"
"RWZL01000005.1 Pseudomonas aeruginosa strain SMC5451 IPC1620_5.1, whole genome shotgun sequence"
"RWZI01000002.1 Pseudomonas aeruginosa strain 33CFBRPA IPC1623_2.1, whole genome shotgun sequence"
"RWZO01000040.1 Pseudomonas aeruginosa strain SMC1595 IPC1617_40.1, whole genome shotgun sequence"
"RWZV01000004.1 Pseudomonas aeruginosa strain OY15 IPC1434_4.1, whole genome shotgun sequence"
"RWZT01000007.1 Pseudomonas aeruginosa strain Zw73_2 IPC1437_7.1, whole genome shotgun sequence"
"RWZS01000015.1 Pseudomonas aeruginosa strain Zw75_2 IPC1438_15.1, whole genome shotgun sequence"
"RXAG01000029.1 Pseudomonas aeruginosa strain HCF367 IPC1415_29.1, whole genome shotgun sequence"
"RXAI01000006.1 Pseudomonas aeruginosa strain HCF331 IPC1413_6.1, whole genome shotgun sequence"
"RXAH01000039.1 Pseudomonas aeruginosa strain HCF336 IPC1414_39.1, whole genome shotgun sequence"
"RXAJ01000005.1 Pseudomonas aeruginosa strain HCF238 IPC1412_5.1, whole genome shotgun sequence"
"RXAZ01000001.1 Pseudomonas aeruginosa strain PD1 IPC1377_1.1, whole genome shotgun sequence"
"RXAU01000021.1 Pseudomonas aeruginosa strain PT6 IPC1385_21.1, whole genome shotgun sequence"
"RXBB01000003.1 Pseudomonas aeruginosa strain H2 IPC1375_3.1, whole genome shotgun sequence"
"RXBD01000001.1 Pseudomonas aeruginosa strain MCF199 IPC1370_1.1, whole genome shotgun sequence"
"RXBR01000005.1 Pseudomonas aeruginosa strain JYH21 IPC1232_5.1, whole genome shotgun sequence"
"RXBS01000005.1 Pseudomonas aeruginosa strain JYH19 IPC1230_5.1, whole genome shotgun sequence"
"RXCA01000005.1 Pseudomonas aeruginosa strain MSH3 IPC1178_5.1, whole genome shotgun sequence"
"RXBZ01000006.1 Pseudomonas aeruginosa strain MSH10 IPC1179_6.1, whole genome shotgun sequence"
"RXCG01000002.1 Pseudomonas aeruginosa strain T4242 IPC1134_2.1, whole genome shotgun sequence"
"RXCL01000006.1 Pseudomonas aeruginosa strain 2810 IPC1111_6.1, whole genome shotgun sequence"
"RXCK01000008.1 Pseudomonas aeruginosa strain U2816 IPC1115_8.1, whole genome shotgun sequence"
"RXCH01000004.1 Pseudomonas aeruginosa strain T3382 IPC1132_4.1, whole genome shotgun sequence"
"RXCN01000001.1 Pseudomonas aeruginosa strain P2733 IPC1108_1.1, whole genome shotgun sequence"
"RXCI01000004.1 Pseudomonas aeruginosa strain T2584 IPC1130_4.1, whole genome shotgun sequence"
"RXCO01000004.1 Pseudomonas aeruginosa strain T3979 IPC1106_4.1, whole genome shotgun sequence"
"RXCR01000013.1 Pseudomonas aeruginosa strain W15Okt31 IPC829_13.1, whole genome shotgun sequence"
"RXCU01000005.1 Pseudomonas aeruginosa strain W15Aug23 IPC825_5.1, whole genome shotgun sequence"
"RXCW01000002.1 Pseudomonas aeruginosa strain Jp1303 IPC762_2.1, whole genome shotgun sequence"
"RXDI01000001.1 Pseudomonas aeruginosa strain AMT0046-107 IPC561_1.1, whole genome shotgun sequence"
"RXDG01000021.1 Pseudomonas aeruginosa strain AMT0047-125 IPC564_21.1, whole genome shotgun sequence"
"RXDH01000001.1 Pseudomonas aeruginosa strain AMT0046-108 IPC562_1.1, whole genome shotgun sequence"
"RXDO01000004.1 Pseudomonas aeruginosa strain AMT0005-137 IPC542_4.1, whole genome shotgun sequence"
"RXDS01000005.1 Pseudomonas aeruginosa strain AUS727 IPC517_5.1, whole genome shotgun sequence"
"RXDR01000021.1 Pseudomonas aeruginosa strain AUS717 IPC532_21.1, whole genome shotgun sequence"
"RXDP01000004.1 Pseudomonas aeruginosa strain AMT0005-136 IPC541_4.1, whole genome shotgun sequence"
"RXDT01000036.1 Pseudomonas aeruginosa strain AUS456 IPC482_36.1, whole genome shotgun sequence"
"RXDQ01000005.1 Pseudomonas aeruginosa strain AMT0005-135 IPC540_5.1, whole genome shotgun sequence"
"RXDU01000017.1 Pseudomonas aeruginosa strain AUS455 IPC481_17.1, whole genome shotgun sequence"
"RXEA01000001.1 Pseudomonas aeruginosa strain AUS510 IPC447_1.1, whole genome shotgun sequence"
"RXEO01000004.1 Pseudomonas aeruginosa strain AUS153 IPC392_4.1, whole genome shotgun sequence"
"RXEP01000005.1 Pseudomonas aeruginosa strain AUS141 IPC382_5.1, whole genome shotgun sequence"
"RXEV01000003.1 Pseudomonas aeruginosa strain AUS122 IPC367_3.1, whole genome shotgun sequence"
"RXEX01000003.1 Pseudomonas aeruginosa strain AUS523 IPC331_3.1, whole genome shotgun sequence"
"RXFG01000007.1 Pseudomonas aeruginosa strain AUS222 IPC247_7.1, whole genome shotgun sequence"
"RXFC01000018.1 Pseudomonas aeruginosa strain AUS452 IPC270_18.1, whole genome shotgun sequence"
"RWKY01000026.1 Pseudomonas aeruginosa strain 22.1 IPC1605_26.1, whole genome shotgun sequence"
"RWKX01000024.1 Pseudomonas aeruginosa strain 22.2 IPC1606_24.1, whole genome shotgun sequence"
"RWLB01000004.1 Pseudomonas aeruginosa strain 19 IPC1602_4.1, whole genome shotgun sequence"
"RWLC01000007.1 Pseudomonas aeruginosa strain 18 IPC1601_7.1, whole genome shotgun sequence"
"RWLD01000013.1 Pseudomonas aeruginosa strain 17 IPC1600_13.1, whole genome shotgun sequence"
"RWLF01000007.1 Pseudomonas aeruginosa strain 15 IPC1598_7.1, whole genome shotgun sequence"
"RWLH01000006.1 Pseudomonas aeruginosa strain 14.1 IPC1596_6.1, whole genome shotgun sequence"
"RWLG01000005.1 Pseudomonas aeruginosa strain 14.2 IPC1597_5.1, whole genome shotgun sequence"
"RWLK01000005.1 Pseudomonas aeruginosa strain 11 IPC1593_5.1, whole genome shotgun sequence"
"RWLL01000006.1 Pseudomonas aeruginosa strain 10 IPC1592_6.1, whole genome shotgun sequence"
"RWLM01000036.1 Pseudomonas aeruginosa strain 9 IPC1591_36.1, whole genome shotgun sequence"
"RWLJ01000005.1 Pseudomonas aeruginosa strain 12 IPC1594_5.1, whole genome shotgun sequence"
"RWLP01000004.1 Pseudomonas aeruginosa strain 6 IPC1588_4.1, whole genome shotgun sequence"
"RWLS01000005.1 Pseudomonas aeruginosa strain 3 IPC1585_5.1, whole genome shotgun sequence"
"RWLU01000005.1 Pseudomonas aeruginosa strain 1 IPC1583_5.1, whole genome shotgun sequence"
"RWLX01000017.1 Pseudomonas aeruginosa strain 5014375233 IPC1521_17.1, whole genome shotgun sequence"
"RWLY01000004.1 Pseudomonas aeruginosa strain 4104355315 IPC1520_4.1, whole genome shotgun sequence"
"RWMF01000004.1 Pseudomonas aeruginosa strain 5024382738-25 IPC1513_4.1, whole genome shotgun sequence"
"RWMH01000028.1 Pseudomonas aeruginosa strain 4104355340-13 IPC1511_28.1, whole genome shotgun sequence"
"RWMK01000028.1 Pseudomonas aeruginosa strain 5054408352 IPC1508_28.1, whole genome shotgun sequence"
"RWMG01000003.1 Pseudomonas aeruginosa strain 5024382738-26 IPC1512_3.1, whole genome shotgun sequence"
"RWMI01000003.1 Pseudomonas aeruginosa strain 4104355340-15 IPC1510_3.1, whole genome shotgun sequence"
"RWMJ01000031.1 Pseudomonas aeruginosa strain 110238627 IPC1509_31.1, whole genome shotgun sequence"
"RWMV01000004.1 Pseudomonas aeruginosa strain 4044301968 IPC1496_4.1, whole genome shotgun sequence"
"RWNA01000005.1 Pseudomonas aeruginosa strain 5054408350-22 IPC1490_5.1, whole genome shotgun sequence"
"RWNC01000005.1 Pseudomonas aeruginosa strain 5054408350-18 IPC1488_5.1, whole genome shotgun sequence"
"RWND01000003.1 Pseudomonas aeruginosa strain 4064320487 IPC1487_3.1, whole genome shotgun sequence"
"RWNG01000001.1 Pseudomonas aeruginosa strain 4094345258 IPC1481_1.1, whole genome shotgun sequence"
"RWNI01000001.1 Pseudomonas aeruginosa strain 5024379144-14 IPC1479_1.1, whole genome shotgun sequence"
"RWNH01000001.1 Pseudomonas aeruginosa strain 5024379144-15 IPC1480_1.1, whole genome shotgun sequence"
"RWNV01000006.1 Pseudomonas aeruginosa strain 6092.3 IPC1340_6.1, whole genome shotgun sequence"
"RWNT01000002.1 Pseudomonas aeruginosa strain 6095 IPC1342_2.1, whole genome shotgun sequence"
"RWNW01000005.1 Pseudomonas aeruginosa strain 6092.2 IPC1339_5.1, whole genome shotgun sequence"
"RWOC01000007.1 Pseudomonas aeruginosa strain 6086.2 IPC1333_7.1, whole genome shotgun sequence"
"RWOJ01000004.1 Pseudomonas aeruginosa strain 6000.2 IPC1326_4.1, whole genome shotgun sequence"
"RWOI01000005.1 Pseudomonas aeruginosa strain 6000.3 IPC1327_5.1, whole genome shotgun sequence"
"RWOK01000004.1 Pseudomonas aeruginosa strain 6000.1 IPC1325_4.1, whole genome shotgun sequence"
"RWOM01000015.1 Pseudomonas aeruginosa strain 5999.2 IPC1323_15.1, whole genome shotgun sequence"
"RWOL01000013.1 Pseudomonas aeruginosa strain 5999.3 IPC1324_13.1, whole genome shotgun sequence"
"RWON01000013.1 Pseudomonas aeruginosa strain 5999.1 IPC1322_13.1, whole genome shotgun sequence"
"RWOO01000005.1 Pseudomonas aeruginosa strain 5998 IPC1321_5.1, whole genome shotgun sequence"
"RWOU01000005.1 Pseudomonas aeruginosa strain 5992 IPC1315_5.1, whole genome shotgun sequence"
"RWPE01000003.1 Pseudomonas aeruginosa strain PA-CL549 IPC634_3.1, whole genome shotgun sequence"
"RWPF01000016.1 Pseudomonas aeruginosa strain PA-CL547b IPC633_16.1, whole genome shotgun sequence"
"RWPG01000001.1 Pseudomonas aeruginosa strain PA-CL545b IPC632_1.1, whole genome shotgun sequence"
"RWPH01000017.1 Pseudomonas aeruginosa strain PA-CL542b IPC630_17.1, whole genome shotgun sequence"
"RWPK01000003.1 Pseudomonas aeruginosa strain PA-CL534a IPC625_3.1, whole genome shotgun sequence"
"RWPI01000011.1 Pseudomonas aeruginosa strain PA-CL542a IPC629_11.1, whole genome shotgun sequence"
"RWPM01000005.1 Pseudomonas aeruginosa strain PA-CL529 IPC623_5.1, whole genome shotgun sequence"
"RWPN01000012.1 Pseudomonas aeruginosa strain PA-CL528 IPC622_12.1, whole genome shotgun sequence"
"RWPL01000003.1 Pseudomonas aeruginosa strain PA-CL532 IPC624_3.1, whole genome shotgun sequence"
"RWPO01000002.1 Pseudomonas aeruginosa strain PA-CL527 IPC621_2.1, whole genome shotgun sequence"
"RWPU01000013.1 Pseudomonas aeruginosa strain PA-CL519 IPC613_13.1, whole genome shotgun sequence"
"RWPP01000004.1 Pseudomonas aeruginosa strain PA-CL524 IPC620_4.1, whole genome shotgun sequence"
"RWPR01000002.1 Pseudomonas aeruginosa strain PA-CL521b IPC616_2.1, whole genome shotgun sequence"
"RWPV01000015.1 Pseudomonas aeruginosa strain PA-CL518 IPC612_15.1, whole genome shotgun sequence"
"RWPQ01000003.1 Pseudomonas aeruginosa strain PA-CL522b IPC618_3.1, whole genome shotgun sequence"
"RWPS01000003.1 Pseudomonas aeruginosa strain PA-CL521a IPC615_3.1, whole genome shotgun sequence"
"RWPT01000014.1 Pseudomonas aeruginosa strain PA-CL520 IPC614_14.1, whole genome shotgun sequence"
"RWPW01000013.1 Pseudomonas aeruginosa strain PA-CL517 IPC611_13.1, whole genome shotgun sequence"
"RWQD01000004.1 Pseudomonas aeruginosa strain PA-CL510 IPC604_4.1, whole genome shotgun sequence"
"RWQC01000002.1 Pseudomonas aeruginosa strain PA-CL511 IPC605_2.1, whole genome shotgun sequence"
"RWQB01000005.1 Pseudomonas aeruginosa strain PA-CL512 IPC606_5.1, whole genome shotgun sequence"
"RWQE01000006.1 Pseudomonas aeruginosa strain PA-CL509 IPC603_6.1, whole genome shotgun sequence"
"RWQG01000004.1 Pseudomonas aeruginosa strain PA-CL507 IPC601_4.1, whole genome shotgun sequence"
"RWQF01000003.1 Pseudomonas aeruginosa strain PA-CL508 IPC602_3.1, whole genome shotgun sequence"
"RWQJ01000004.1 Pseudomonas aeruginosa strain PA-CL504 IPC598_4.1, whole genome shotgun sequence"
"RWQI01000004.1 Pseudomonas aeruginosa strain PA-CL505 IPC599_4.1, whole genome shotgun sequence"
"RWQH01000004.1 Pseudomonas aeruginosa strain PA-CL506b IPC600_4.1, whole genome shotgun sequence"
"RWQL01000005.1 Pseudomonas aeruginosa strain PA-CL501 IPC596_5.1, whole genome shotgun sequence"
"RWQK01000004.1 Pseudomonas aeruginosa strain PA-CL502 IPC597_4.1, whole genome shotgun sequence"
"RWQZ01000004.1 Pseudomonas aeruginosa strain PAC91A IPC181_4.1, whole genome shotgun sequence"
"RWRA01000011.1 Pseudomonas aeruginosa strain PAC81B IPC180_11.1, whole genome shotgun sequence"
"RWRD01000003.1 Pseudomonas aeruginosa strain PAC76A IPC177_3.1, whole genome shotgun sequence"
