"NSTY01000016.1 Pseudomonas aeruginosa strain CPHL8058 IPC733_16.1, whole genome shotgun sequence"
"RXDG01000008.1 Pseudomonas aeruginosa strain AMT0047-125 IPC564_8.1, whole genome shotgun sequence"
"RXDH01000001.1 Pseudomonas aeruginosa strain AMT0046-108 IPC562_1.1, whole genome shotgun sequence"
"RXDJ01000006.1 Pseudomonas aeruginosa strain AMT0026-2 IPC554_6.1, whole genome shotgun sequence"
"RXDK01000006.1 Pseudomonas aeruginosa strain AMT0026-1 IPC553_6.1, whole genome shotgun sequence"
"RXDL01000023.1 Pseudomonas aeruginosa strain AMT0020-83 IPC548_23.1, whole genome shotgun sequence"
"RXEC01000004.1 Pseudomonas aeruginosa strain AUS501 IPC444_4.1, whole genome shotgun sequence"
"RXEF01000009.1 Pseudomonas aeruginosa strain AUS178 IPC415_9.1, whole genome shotgun sequence"
"RXEL01000001.1 Pseudomonas aeruginosa strain AUS157 IPC396_1.1, whole genome shotgun sequence"
"RXEN01000012.1 Pseudomonas aeruginosa strain AUS155 IPC394_12.1, whole genome shotgun sequence"
"RXEH01000001.1 Pseudomonas aeruginosa strain AUS176 IPC413_1.1, whole genome shotgun sequence"
"RXEI01000003.1 Pseudomonas aeruginosa strain AUS175 IPC412_3.1, whole genome shotgun sequence"
"RXEO01000009.1 Pseudomonas aeruginosa strain AUS153 IPC392_9.1, whole genome shotgun sequence"
"RXEP01000001.1 Pseudomonas aeruginosa strain AUS141 IPC382_1.1, whole genome shotgun sequence"
"RXER01000006.1 Pseudomonas aeruginosa strain AUS139 IPC380_6.1, whole genome shotgun sequence"
"RXEW01000003.1 Pseudomonas aeruginosa strain AUS110 IPC357_3.1, whole genome shotgun sequence"
"RXEZ01000002.1 Pseudomonas aeruginosa strain AUS527 IPC324_2.1, whole genome shotgun sequence"
"RXFH01000009.1 Pseudomonas aeruginosa strain AUS525 IPC246_9.1, whole genome shotgun sequence"
"RWKY01000002.1 Pseudomonas aeruginosa strain 22.1 IPC1605_2.1, whole genome shotgun sequence"
"RWKX01000001.1 Pseudomonas aeruginosa strain 22.2 IPC1606_1.1, whole genome shotgun sequence"
"RWKZ01000002.1 Pseudomonas aeruginosa strain 21 IPC1604_2.1, whole genome shotgun sequence"
"RWLB01000003.1 Pseudomonas aeruginosa strain 19 IPC1602_3.1, whole genome shotgun sequence"
"RWLE01000005.1 Pseudomonas aeruginosa strain 16 IPC1599_5.1, whole genome shotgun sequence"
"RWLI01000007.1 Pseudomonas aeruginosa strain 13 IPC1595_7.1, whole genome shotgun sequence"
"RWLM01000009.1 Pseudomonas aeruginosa strain 9 IPC1591_9.1, whole genome shotgun sequence"
"RWLS01000010.1 Pseudomonas aeruginosa strain 3 IPC1585_10.1, whole genome shotgun sequence"
"RWLV01000011.1 Pseudomonas aeruginosa strain 3052425557 IPC1523_11.1, whole genome shotgun sequence"
"RWLX01000009.1 Pseudomonas aeruginosa strain 5014375233 IPC1521_9.1, whole genome shotgun sequence"
"RWMH01000012.1 Pseudomonas aeruginosa strain 4104355340-13 IPC1511_12.1, whole genome shotgun sequence"
"RWMK01000006.1 Pseudomonas aeruginosa strain 5054408352 IPC1508_6.1, whole genome shotgun sequence"
"RWMI01000016.1 Pseudomonas aeruginosa strain 4104355340-15 IPC1510_16.1, whole genome shotgun sequence"
"RWMJ01000015.1 Pseudomonas aeruginosa strain 110238627 IPC1509_15.1, whole genome shotgun sequence"
"RWMY01000017.1 Pseudomonas aeruginosa strain 3052425557 IPC1492_17.1, whole genome shotgun sequence"
"RWMV01000003.1 Pseudomonas aeruginosa strain 4044301968 IPC1496_3.1, whole genome shotgun sequence"
"RWMX01000002.1 Pseudomonas aeruginosa strain 4064321111 IPC1494_2.1, whole genome shotgun sequence"
"RWNA01000008.1 Pseudomonas aeruginosa strain 5054408350-22 IPC1490_8.1, whole genome shotgun sequence"
"RWNC01000006.1 Pseudomonas aeruginosa strain 5054408350-18 IPC1488_6.1, whole genome shotgun sequence"
"RWNB01000003.1 Pseudomonas aeruginosa strain 5054408350-20 IPC1489_3.1, whole genome shotgun sequence"
"RWND01000007.1 Pseudomonas aeruginosa strain 4064320487 IPC1487_7.1, whole genome shotgun sequence"
"RWOA01000003.1 Pseudomonas aeruginosa strain 6088 IPC1335_3.1, whole genome shotgun sequence"
"RWOJ01000008.1 Pseudomonas aeruginosa strain 6000.2 IPC1326_8.1, whole genome shotgun sequence"
"RWOI01000008.1 Pseudomonas aeruginosa strain 6000.3 IPC1327_8.1, whole genome shotgun sequence"
"RWOK01000009.1 Pseudomonas aeruginosa strain 6000.1 IPC1325_9.1, whole genome shotgun sequence"
"RWOM01000009.1 Pseudomonas aeruginosa strain 5999.2 IPC1323_9.1, whole genome shotgun sequence"
"RWOL01000008.1 Pseudomonas aeruginosa strain 5999.3 IPC1324_8.1, whole genome shotgun sequence"
"RWON01000003.1 Pseudomonas aeruginosa strain 5999.1 IPC1322_3.1, whole genome shotgun sequence"
"RWOR01000003.1 Pseudomonas aeruginosa strain 5995 IPC1318_3.1, whole genome shotgun sequence"
"RWPR01000005.1 Pseudomonas aeruginosa strain PA-CL521b IPC616_5.1, whole genome shotgun sequence"
"RWPP01000002.1 Pseudomonas aeruginosa strain PA-CL524 IPC620_2.1, whole genome shotgun sequence"
"RWPQ01000006.1 Pseudomonas aeruginosa strain PA-CL522b IPC618_6.1, whole genome shotgun sequence"
"RWPS01000005.1 Pseudomonas aeruginosa strain PA-CL521a IPC615_5.1, whole genome shotgun sequence"
"RWQA01000008.1 Pseudomonas aeruginosa strain PA-CL513 IPC607_8.1, whole genome shotgun sequence"
"RWRM01000002.1 Pseudomonas aeruginosa strain PAC98A IPC168_2.1, whole genome shotgun sequence"
"RWSB01000016.1 Pseudomonas aeruginosa strain PAC94A IPC152_16.1, whole genome shotgun sequence"
"RWST01000004.1 Pseudomonas aeruginosa strain PAC13B IPC132_4.1, whole genome shotgun sequence"
"RWSR01000003.1 Pseudomonas aeruginosa strain PAC117A IPC134_3.1, whole genome shotgun sequence"
"RWSU01000004.1 Pseudomonas aeruginosa strain PAC13A IPC131_4.1, whole genome shotgun sequence"
"RWSW01000009.1 Pseudomonas aeruginosa strain PAC79B IPC129_9.1, whole genome shotgun sequence"
"RWSX01000007.1 Pseudomonas aeruginosa strain PAC79A IPC128_7.1, whole genome shotgun sequence"
"RWSV01000003.1 Pseudomonas aeruginosa strain PAC106A IPC130_3.1, whole genome shotgun sequence"
"RWSY01000009.1 Pseudomonas aeruginosa strain PAC11A IPC127_9.1, whole genome shotgun sequence"
"RWTC01000001.1 Pseudomonas aeruginosa strain PAC9A IPC123_1.1, whole genome shotgun sequence"
"RWUG01000006.1 Pseudomonas aeruginosa strain 274S010611BSL_PA1 IPC58_6.1, whole genome shotgun sequence"
"RWUH01000006.1 Pseudomonas aeruginosa strain 272S250511BSL_PA1 IPC57_6.1, whole genome shotgun sequence"
"RWUX01000003.1 Pseudomonas aeruginosa strain 144S190811BSL_PA2 IPC38_3.1, whole genome shotgun sequence"
"RWUY01000003.1 Pseudomonas aeruginosa strain 144S190811BSL_PA1 IPC37_3.1, whole genome shotgun sequence"
"MVGY01000013.1 Pseudomonas aeruginosa strain ATCC BAA-2111 IPC1579_13.1, whole genome shotgun sequence"
"MCLY01000003.1 Pseudomonas aeruginosa strain 2C22 isolate 57P31PA IPC1274_3.1, whole genome shotgun sequence"
"NSMV01000005.1 Pseudomonas aeruginosa strain AL191 IPC1350_5.1, whole genome shotgun sequence"
"NSMW01000003.1 Pseudomonas aeruginosa strain PA-W46 IPC1303_3.1, whole genome shotgun sequence"
"NSNE01000002.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_2.1, whole genome shotgun sequence"
"NSNM01000020.1 Pseudomonas aeruginosa strain PA-W21 IPC1287_20.1, whole genome shotgun sequence"
"NSNP01000007.1 Pseudomonas aeruginosa strain PA-W10 IPC1284_7.1, whole genome shotgun sequence"
"NSPK01000008.1 Pseudomonas aeruginosa strain E1(T4189) IPC1138_8.1, whole genome shotgun sequence"
"NSQP01000001.1 Pseudomonas aeruginosa strain C3 IPC1043_1.1, whole genome shotgun sequence"
"NSRC01000002.1 Pseudomonas aeruginosa strain DUN-007-2 IPC1006_2.1, whole genome shotgun sequence"
"NSSB01000002.1 Pseudomonas aeruginosa strain U0306 IPC934_2.1, whole genome shotgun sequence"
"NSSQ01000019.1 Pseudomonas aeruginosa strain PT31M IPC881_19.1, whole genome shotgun sequence"
"NSSU01000008.1 Pseudomonas aeruginosa strain LMG2107 IPC877_8.1, whole genome shotgun sequence"
"NSTH01000010.1 Pseudomonas aeruginosa strain LiA179_2006 IPC785_10.1, whole genome shotgun sequence"
"NSTV01000004.1 Pseudomonas aeruginosa strain CPHL10662 IPC737_4.1, whole genome shotgun sequence"
"NSUB01000002.1 Pseudomonas aeruginosa strain CPHL2000 IPC729_2.1, whole genome shotgun sequence"
"NSUI01000003.1 Pseudomonas aeruginosa strain C3128 IPC715_3.1, whole genome shotgun sequence"
"NSVR01000001.1 Pseudomonas aeruginosa strain AMT0006-66 IPC547_1.1, whole genome shotgun sequence"
"NSWZ01000001.1 Pseudomonas aeruginosa strain AUS485 IPC436_1.1, whole genome shotgun sequence"
"NSXV01000009.1 Pseudomonas aeruginosa strain AUS073 IPC346_9.1, whole genome shotgun sequence"
"NSYP01000013.1 Pseudomonas aeruginosa strain AUS471 IPC282_13.1, whole genome shotgun sequence"
"NTAG01000001.1 Pseudomonas aeruginosa strain PA-W49 IPC25_1.1, whole genome shotgun sequence"
"NTAM01000004.1 Pseudomonas aeruginosa strain PA-W30 IPC18_4.1, whole genome shotgun sequence"
"NTAL01000011.1 Pseudomonas aeruginosa strain PA-W34 IPC19_11.1, whole genome shotgun sequence"
"RXAV01000002.1 Pseudomonas aeruginosa strain Zw64 IPC1384_2.1, whole genome shotgun sequence"
"RXAT01000016.1 Pseudomonas aeruginosa strain PT12 IPC1387_16.1, whole genome shotgun sequence"
"RXBW01000006.1 Pseudomonas aeruginosa strain JYH11 IPC1222_6.1, whole genome shotgun sequence"
"RXBR01000003.1 Pseudomonas aeruginosa strain JYH21 IPC1232_3.1, whole genome shotgun sequence"
"RXBU01000004.1 Pseudomonas aeruginosa strain JYH15 IPC1226_4.1, whole genome shotgun sequence"
"RXBP01000002.1 Pseudomonas aeruginosa strain JYH25 IPC1236_2.1, whole genome shotgun sequence"
"RXCL01000008.1 Pseudomonas aeruginosa strain 2810 IPC1111_8.1, whole genome shotgun sequence"
"RXCQ01000005.1 Pseudomonas aeruginosa strain W5Aug28 IPC831_5.1, whole genome shotgun sequence"
"RXDM01000001.1 Pseudomonas aeruginosa strain AMT0006-65 IPC546_1.1, whole genome shotgun sequence"
"RXDN01000001.1 Pseudomonas aeruginosa strain AMT0006-64 IPC545_1.1, whole genome shotgun sequence"
"RXDY01000010.1 Pseudomonas aeruginosa strain AUS512 IPC449_10.1, whole genome shotgun sequence"
"RXED01000001.1 Pseudomonas aeruginosa strain AUS500 IPC443_1.1, whole genome shotgun sequence"
"RXET01000001.1 Pseudomonas aeruginosa strain AUS128 IPC371_1.1, whole genome shotgun sequence"
"RXFD01000007.1 Pseudomonas aeruginosa strain AUS227 IPC253_7.1, whole genome shotgun sequence"
"RXFG01000002.1 Pseudomonas aeruginosa strain AUS222 IPC247_2.1, whole genome shotgun sequence"
"RWLC01000019.1 Pseudomonas aeruginosa strain 18 IPC1601_19.1, whole genome shotgun sequence"
"RWLL01000011.1 Pseudomonas aeruginosa strain 10 IPC1592_11.1, whole genome shotgun sequence"
"RWLQ01000005.1 Pseudomonas aeruginosa strain 5 IPC1587_5.1, whole genome shotgun sequence"
"RWLO01000004.1 Pseudomonas aeruginosa strain 7 IPC1589_4.1, whole genome shotgun sequence"
"RWLT01000003.1 Pseudomonas aeruginosa strain 2.1 IPC1584_3.1, whole genome shotgun sequence"
"RWMB01000003.1 Pseudomonas aeruginosa strain 3020837212 IPC1517_3.1, whole genome shotgun sequence"
"RWMO01000005.1 Pseudomonas aeruginosa strain 2042723558 IPC1504_5.1, whole genome shotgun sequence"
"RWMP01000005.1 Pseudomonas aeruginosa strain 1042828174-21 IPC1503_5.1, whole genome shotgun sequence"
"RWMR01000003.1 Pseudomonas aeruginosa strain 4124363474-14 IPC1501_3.1, whole genome shotgun sequence"
"RWMS01000004.1 Pseudomonas aeruginosa strain 4124363474-15 IPC1500_4.1, whole genome shotgun sequence"
"RWOG01000002.1 Pseudomonas aeruginosa strain 6003 IPC1329_2.1, whole genome shotgun sequence"
"RWOP01000030.1 Pseudomonas aeruginosa strain 5997 IPC1320_30.1, whole genome shotgun sequence"
"RWOS01000003.1 Pseudomonas aeruginosa strain 5994 IPC1317_3.1, whole genome shotgun sequence"
"RWOV01000002.1 Pseudomonas aeruginosa strain 5991 IPC1314_2.1, whole genome shotgun sequence"
"RWOZ01000001.1 Pseudomonas aeruginosa strain 5989 IPC1310_1.1, whole genome shotgun sequence"
"RWPD01000003.1 Pseudomonas aeruginosa strain 5985 IPC1306_3.1, whole genome shotgun sequence"
"RWRC01000004.1 Pseudomonas aeruginosa strain PAC112A IPC178_4.1, whole genome shotgun sequence"
"RWRF01000014.1 Pseudomonas aeruginosa strain PAC127B IPC175_14.1, whole genome shotgun sequence"
"RWRE01000002.1 Pseudomonas aeruginosa strain PAC60A IPC176_2.1, whole genome shotgun sequence"
"RWRH01000002.1 Pseudomonas aeruginosa strain PAC38B IPC173_2.1, whole genome shotgun sequence"
"RWRG01000003.1 Pseudomonas aeruginosa strain PAC127A IPC174_3.1, whole genome shotgun sequence"
"RWRI01000003.1 Pseudomonas aeruginosa strain PAC38A IPC172_3.1, whole genome shotgun sequence"
"RWRU01000003.1 Pseudomonas aeruginosa strain PAC115A IPC159_3.1, whole genome shotgun sequence"
"RWRV01000003.1 Pseudomonas aeruginosa strain PAC108A IPC158_3.1, whole genome shotgun sequence"
"RWRW01000003.1 Pseudomonas aeruginosa strain PAC44D IPC157_3.1, whole genome shotgun sequence"
"RWSA01000004.1 Pseudomonas aeruginosa strain PAC23A IPC153_4.1, whole genome shotgun sequence"
"RWRX01000002.1 Pseudomonas aeruginosa strain PAC44C IPC156_2.1, whole genome shotgun sequence"
"RWSC01000002.1 Pseudomonas aeruginosa strain PAC84A IPC151_2.1, whole genome shotgun sequence"
"RWSD01000002.1 Pseudomonas aeruginosa strain PAC22A IPC150_2.1, whole genome shotgun sequence"
"RWSN01000017.1 Pseudomonas aeruginosa strain PAC15B IPC140_17.1, whole genome shotgun sequence"
"RWSO01000017.1 Pseudomonas aeruginosa strain PAC15A IPC139_17.1, whole genome shotgun sequence"
"RWSQ01000003.1 Pseudomonas aeruginosa strain PAC117B IPC135_3.1, whole genome shotgun sequence"
"RWSS01000003.1 Pseudomonas aeruginosa strain PAC13C IPC133_3.1, whole genome shotgun sequence"
"RWSZ01000005.1 Pseudomonas aeruginosa strain PAC107A IPC126_5.1, whole genome shotgun sequence"
"RWTB01000005.1 Pseudomonas aeruginosa strain PAC10A IPC124_5.1, whole genome shotgun sequence"
"RWTA01000003.1 Pseudomonas aeruginosa strain PAC10B IPC125_3.1, whole genome shotgun sequence"
"RWTV01000001.1 Pseudomonas aeruginosa strain 318S170811BSL_PA2 IPC72_1.1, whole genome shotgun sequence"
"RWTY01000018.1 Pseudomonas aeruginosa strain 298S020611BSL_PA1 IPC68_18.1, whole genome shotgun sequence"
"RWTW01000004.1 Pseudomonas aeruginosa strain 318S170811BSL_PA1 IPC71_4.1, whole genome shotgun sequence"
"RWTZ01000002.1 Pseudomonas aeruginosa strain 295s071211BSL_PA2 IPC67_2.1, whole genome shotgun sequence"
"RWUE01000002.1 Pseudomonas aeruginosa strain 278S180511BSL_PA2 IPC60_2.1, whole genome shotgun sequence"
"RWUJ01000005.1 Pseudomonas aeruginosa strain 259S240811BSL_PA2 IPC55_5.1, whole genome shotgun sequence"
"RWUF01000003.1 Pseudomonas aeruginosa strain 278S180511BSL_PA1 IPC59_3.1, whole genome shotgun sequence"
"RWUK01000005.1 Pseudomonas aeruginosa strain 259S240811BSL_PA1 IPC54_5.1, whole genome shotgun sequence"
"RWUW01000004.1 Pseudomonas aeruginosa strain 145S200511BSL_PA2 IPC40_4.1, whole genome shotgun sequence"
"RWVC01000001.1 Pseudomonas aeruginosa strain 128S180412BSL_PA2 IPC33_1.1, whole genome shotgun sequence"
"RWRY01000004.1 Pseudomonas aeruginosa strain PAC44B IPC155_4.1, whole genome shotgun sequence"
"RWRZ01000003.1 Pseudomonas aeruginosa strain PAC44A IPC154_3.1, whole genome shotgun sequence"
"NSTT01000009.1 Pseudomonas aeruginosa strain Tu61 IPC740_9.1, whole genome shotgun sequence"
"NSUY01000002.1 Pseudomonas aeruginosa strain A10 IPC689_2.1, whole genome shotgun sequence"
"NSXD01000001.1 Pseudomonas aeruginosa strain AUS165 IPC404_1.1, whole genome shotgun sequence"
"NSZL01000010.1 Pseudomonas aeruginosa strain AUS195 IPC215_10.1, whole genome shotgun sequence"
